1,824.68,2255.00,614175.32
2,827.70,2251.98,613347.62
3,830.74,2248.94,612516.88
4,833.78,2245.90,611683.09
5,836.84,2242.84,610846.25
6,839.91,2239.77,610006.34
7,842.99,2236.69,609163.35
8,846.08,2233.60,608317.27
9,849.18,2230.50,607468.09
10,852.30,2227.38,606615.79
11,855.42,2224.26,605760.37
12,858.56,2221.12,604901.81
13,861.71,2217.97,604040.11
14,864.87,2214.81,603175.24
15,868.04,2211.64,602307.20
16,871.22,2208.46,601435.98
17,874.41,2205.27,600561.57
18,877.62,2202.06,599683.95
19,880.84,2198.84,598803.11
20,884.07,2195.61,597919.04
21,887.31,2192.37,597031.73
22,890.56,2189.12,596141.17
23,893.83,2185.85,595247.34
24,897.11,2182.57,594350.23
25,900.40,2179.28,593449.84
26,903.70,2175.98,592546.14
27,907.01,2172.67,591639.13
28,910.34,2169.34,590728.80
29,913.67,2166.01,589815.12
30,917.02,2162.66,588898.10
31,920.39,2159.29,587977.71
32,923.76,2155.92,587053.95
33,927.15,2152.53,586126.80
34,930.55,2149.13,585196.25
35,933.96,2145.72,584262.29
36,937.38,2142.30,583324.91
37,940.82,2138.86,582384.09
38,944.27,2135.41,581439.82
39,947.73,2131.95,580492.08
40,951.21,2128.47,579540.87
41,954.70,2124.98,578586.18
42,958.20,2121.48,577627.98
43,961.71,2117.97,576666.27
44,965.24,2114.44,575701.03
45,968.78,2110.90,574732.26
46,972.33,2107.35,573759.93
47,975.89,2103.79,572784.04
48,979.47,2100.21,571804.57
49,983.06,2096.62,570821.50
50,986.67,2093.01,569834.83
51,990.29,2089.39,568844.55
52,993.92,2085.76,567850.63
53,997.56,2082.12,566853.07
54,1001.22,2078.46,565851.85
55,1004.89,2074.79,564846.96
56,1008.57,2071.11,563838.39
57,1012.27,2067.41,562826.12
58,1015.98,2063.70,561810.13
59,1019.71,2059.97,560790.43
60,1023.45,2056.23,559766.98
61,1027.20,2052.48,558739.78
62,1030.97,2048.71,557708.81
63,1034.75,2044.93,556674.06
64,1038.54,2041.14,555635.52
65,1042.35,2037.33,554593.17
66,1046.17,2033.51,553547.00
67,1050.01,2029.67,552496.99
68,1053.86,2025.82,551443.14
69,1057.72,2021.96,550385.41
70,1061.60,2018.08,549323.81
71,1065.49,2014.19,548258.32
72,1069.40,2010.28,547188.92
73,1073.32,2006.36,546115.60
74,1077.26,2002.42,545038.35
75,1081.21,1998.47,543957.14
76,1085.17,1994.51,542871.97
77,1089.15,1990.53,541782.82
78,1093.14,1986.54,540689.68
79,1097.15,1982.53,539592.53
80,1101.17,1978.51,538491.36
81,1105.21,1974.47,537386.14
82,1109.26,1970.42,536276.88
83,1113.33,1966.35,535163.55
84,1117.41,1962.27,534046.14
85,1121.51,1958.17,532924.63
86,1125.62,1954.06,531799.00
87,1129.75,1949.93,530669.25
88,1133.89,1945.79,529535.36
89,1138.05,1941.63,528397.31
90,1142.22,1937.46,527255.09
91,1146.41,1933.27,526108.68
92,1150.61,1929.07,524958.06
93,1154.83,1924.85,523803.23
94,1159.07,1920.61,522644.16
95,1163.32,1916.36,521480.84
96,1167.58,1912.10,520313.26
97,1171.86,1907.82,519141.40
98,1176.16,1903.52,517965.24
99,1180.47,1899.21,516784.76
100,1184.80,1894.88,515599.96
101,1189.15,1890.53,514410.81
102,1193.51,1886.17,513217.31
103,1197.88,1881.80,512019.42
104,1202.28,1877.40,510817.15
105,1206.68,1873.00,509610.47
106,1211.11,1868.57,508399.36
107,1215.55,1864.13,507183.81
108,1220.01,1859.67,505963.80
109,1224.48,1855.20,504739.32
110,1228.97,1850.71,503510.36
111,1233.47,1846.20,502276.88
112,1238.00,1841.68,501038.88
113,1242.54,1837.14,499796.35
114,1247.09,1832.59,498549.25
115,1251.67,1828.01,497297.59
116,1256.26,1823.42,496041.33
117,1260.86,1818.82,494780.47
118,1265.48,1814.20,493514.99
119,1270.12,1809.55,492244.86
120,1274.78,1804.90,490970.08
121,1279.46,1800.22,489690.62
122,1284.15,1795.53,488406.48
123,1288.86,1790.82,487117.62
124,1293.58,1786.10,485824.04
125,1298.32,1781.35,484525.71
126,1303.09,1776.59,483222.63
127,1307.86,1771.82,481914.77
128,1312.66,1767.02,480602.11
129,1317.47,1762.21,479284.64
130,1322.30,1757.38,477962.33
131,1327.15,1752.53,476635.18
132,1332.02,1747.66,475303.16
133,1336.90,1742.78,473966.26
134,1341.80,1737.88,472624.46
135,1346.72,1732.96,471277.74
136,1351.66,1728.02,469926.08
137,1356.62,1723.06,468569.46
138,1361.59,1718.09,467207.87
139,1366.58,1713.10,465841.28
140,1371.59,1708.08,464469.69
141,1376.62,1703.06,463093.06
142,1381.67,1698.01,461711.39
143,1386.74,1692.94,460324.65
144,1391.82,1687.86,458932.83
145,1396.93,1682.75,457535.91
146,1402.05,1677.63,456133.86
147,1407.19,1672.49,454726.67
148,1412.35,1667.33,453314.32
149,1417.53,1662.15,451896.79
150,1422.72,1656.95,450474.07
151,1427.94,1651.74,449046.13
152,1433.18,1646.50,447612.95
153,1438.43,1641.25,446174.52
154,1443.71,1635.97,444730.81
155,1449.00,1630.68,443281.81
156,1454.31,1625.37,441827.50
157,1459.65,1620.03,440367.85
158,1465.00,1614.68,438902.86
159,1470.37,1609.31,437432.49
160,1475.76,1603.92,435956.73
161,1481.17,1598.51,434475.55
162,1486.60,1593.08,432988.95
163,1492.05,1587.63,431496.90
164,1497.52,1582.16,429999.37
165,1503.02,1576.66,428496.36
166,1508.53,1571.15,426987.83
167,1514.06,1565.62,425473.77
